#id;characters;meanings;firstReading;readings;partsOfSpeech;level;url
2603;切る;To Cut;きる;きる;transitive verb, godan verb;3;https://www.wanikani.com/vocabulary/%E5%88%87%E3%82%8B
8952;外す;To Disconnect Something, To Miss Something, To Exclude Something, To Remove Something;はずす;はずす;transitive verb, godan verb;3;https://www.wanikani.com/vocabulary/%E5%A4%96%E3%81%99
2606;太る;To Get Fat, To Gain Weight, To Grow Fat, To Become Fat;ふとる;ふとる;intransitive verb, godan verb;3;https://www.wanikani.com/vocabulary/%E5%A4%AA%E3%82%8B
2609;引く;To Pull, To Subtract;ひく;ひく;intransitive verb, transitive verb, godan verb;3;https://www.wanikani.com/vocabulary/%E5%BC%95%E3%81%8F
8945;広げる;To Spread Something, To Unfold Something, To Open Something Up;ひろげる;ひろげる;transitive verb, ichidan verb;3;https://www.wanikani.com/vocabulary/%E5%BA%83%E3%81%92%E3%82%8B
2614;止める;To Stop Something, To Prevent Something;とめる;とめる;transitive verb, ichidan verb;3;https://www.wanikani.com/vocabulary/%E6%AD%A2%E3%82%81%E3%82%8B
2598;分かる;To Understand;わかる;わかる;intransitive verb, godan verb;3;https://www.wanikani.com/vocabulary/%E5%88%86%E3%81%8B%E3%82%8B
2641;用いる;To Utilize, To Use;もちいる;もちいる;transitive verb, ichidan verb;3;https://www.wanikani.com/vocabulary/%E7%94%A8%E3%81%84%E3%82%8B
2594;今日;Today;きょう;きょう;noun;3;https://www.wanikani.com/vocabulary/%E4%BB%8A%E6%97%A5
2589;二万;Twenty Thousand;にまん;にまん;numeral;3;https://www.wanikani.com/vocabulary/%E4%BA%8C%E4%B8%87
2628;二台;Two Machines;にだい;にだい;noun;3;https://www.wanikani.com/vocabulary/%E4%BA%8C%E5%8F%B0
8960;ベッドの下;Under The Bed, Below The Bed, Beneath The Bed;べっどのした;べっどのした, ベッドのした;expression;3;https://www.wanikani.com/vocabulary/%E3%83%99%E3%83%83%E3%83%89%E3%81%AE%E4%B8%8B
2612;方;Way, Direction;かた;かた, ほう;noun;3;https://www.wanikani.com/vocabulary/%E6%96%B9
2638;広い;Wide, Spacious;ひろい;ひろい;い adjective;3;https://www.wanikani.com/vocabulary/%E5%BA%83%E3%81%84
2622;冬;Winter;ふゆ;ふゆ;noun;3;https://www.wanikani.com/vocabulary/%E5%86%AC
8735;女の人;Woman;おんなのひと;おんなのひと;noun;3;https://www.wanikani.com/vocabulary/%E5%A5%B3%E3%81%AE%E4%BA%BA
2719;他人;Another Person, Other People, Stranger;たにん;たにん;noun;4;https://www.wanikani.com/vocabulary/%E4%BB%96%E4%BA%BA
2669;早々;As Soon As, Just After, Immediately After, Promptly, Quickly;そうそう;そうそう, はやばや;noun, suffix;4;https://www.wanikani.com/vocabulary/%E6%97%A9%E3%80%85
8694;大気;Atmosphere;たいき;たいき;noun;4;https://www.wanikani.com/vocabulary/%E5%A4%A7%E6%B0%97
2705;赤ちゃん;Baby;あかちゃん;あかちゃん;noun;4;https://www.wanikani.com/vocabulary/%E8%B5%A4%E3%81%A1%E3%82%83%E3%82%93
2685;竹;Bamboo;たけ;たけ;noun;4;https://www.wanikani.com/vocabulary/%E7%AB%B9
2684;竹の子;Bamboo Shoot, Bamboo Sprout;たけのこ;たけのこ;noun;4;https://www.wanikani.com/vocabulary/%E7%AB%B9%E3%81%AE%E5%AD%90
2658;太字;Bold Letter, Bold, Bold Character, Bold Text, Boldface;ふとじ;ふとじ;noun, の adjective;4;https://www.wanikani.com/vocabulary/%E5%A4%AA%E5%AD%97
2666;少年;Boy, Young Boy, Juvenile, Youth;しょうねん;しょうねん;noun;4;https://www.wanikani.com/vocabulary/%E5%B0%91%E5%B9%B4
2689;虫;Bug, Insect;むし;むし;noun;4;https://www.wanikani.com/vocabulary/%E8%99%AB
2663;年内;By The End Of The Year, Before The End Of This Year, Within The Year;ねんない;ねんない;noun;4;https://www.wanikani.com/vocabulary/%E5%B9%B4%E5%86%85
3403;子牛;Calf, Baby Cow;こうし;こうし;noun;4;https://www.wanikani.com/vocabulary/%E5%AD%90%E7%89%9B
2678;平気;Calm, Cool, All Right, Okay;へいき;へいき;noun, な adjective;4;https://www.wanikani.com/vocabulary/%E5%B9%B3%E6%B0%97
2709;車;Car;くるま;くるま;noun;4;https://www.wanikani.com/vocabulary/%E8%BB%8A
2726;中央;Center, Central, Centre;ちゅうおう;ちゅうおう;noun, の adjective;4;https://www.wanikani.com/vocabulary/%E4%B8%AD%E5%A4%AE
2657;字;Character, Kanji Character, Letter, Symbol;じ;じ;noun;4;https://www.wanikani.com/vocabulary/%E5%AD%97
2687;耳;Ear, Ears;みみ;みみ;noun;4;https://www.wanikani.com/vocabulary/%E8%80%B3
2668;早い;Early, Fast, Quick;はやい;はやい;い adjective;4;https://www.wanikani.com/vocabulary/%E6%97%A9%E3%81%84
2675;元気;Energy, Health, Energetic, Healthy;げんき;げんき;noun, な adjective;4;https://www.wanikani.com/vocabulary/%E5%85%83%E6%B0%97
2655;名人;Expert, Master;めいじん;めいじん;noun;4;https://www.wanikani.com/vocabulary/%E5%90%8D%E4%BA%BA
